Temperature (K),Pressure (MPa),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (Pa*s),Therm. Cond. (W/m*K),Phase
1136.6,12.75,24.724,0.040446,3744.4,4260.1,7.4301,1.9679,2.5066,803.65,1.5947,4.35E-05,0.12551,vapor
1139.5,12.75,24.656,0.040559,3750.1,4267.3,7.4364,1.9695,2.5075,804.69,1.583,4.36E-05,0.12593,vapor
1142.3,12.75,24.588,0.040671,3755.9,4274.5,7.4427,1.9711,2.5084,805.73,1.5713,4.37E-05,0.12635,vapor
1145.2,12.75,24.52,0.040783,3761.7,4281.7,7.4491,1.9727,2.5093,806.77,1.5598,4.38E-05,0.12677,vapor
1148.1,12.75,24.452,0.040896,3767.5,4288.9,7.4554,1.9742,2.5103,807.8,1.5484,4.39E-05,0.12719,vapor
1151,12.75,24.386,0.041008,3773.3,4296.2,7.4616,1.9758,2.5112,808.83,1.5371,4.40E-05,0.12762,vapor
1153.8,12.75,24.319,0.04112,3779.1,4303.4,7.4679,1.9774,2.5122,809.86,1.5259,4.41E-05,0.12804,vapor
1156.7,12.75,24.253,0.041232,3784.9,4310.6,7.4742,1.979,2.5131,810.89,1.5148,4.42E-05,0.12846,vapor
1159.6,12.75,24.187,0.041344,3790.7,4317.9,7.4804,1.9806,2.5141,811.91,1.5038,4.43E-05,0.12888,vapor
1162.5,12.75,24.122,0.041456,3796.5,4325.1,7.4867,1.9822,2.5151,812.94,1.4929,4.44E-05,0.12931,vapor
1165.4,12.75,24.057,0.041568,3802.3,4332.3,7.4929,1.9838,2.5161,813.96,1.4821,4.45E-05,0.12973,vapor
1168.2,12.75,23.992,0.04168,3808.2,4339.6,7.4991,1.9855,2.5171,814.97,1.4714,4.47E-05,0.13015,vapor
1171.1,12.75,23.928,0.041792,3814,4346.8,7.5053,1.9871,2.5182,815.99,1.4608,4.48E-05,0.13058,vapor
1174,12.75,23.864,0.041903,3819.8,4354.1,7.5115,1.9887,2.5192,817,1.4502,4.49E-05,0.131,vapor
1176.9,12.75,23.801,0.042015,3825.6,4361.3,7.5176,1.9903,2.5202,818.02,1.4398,4.50E-05,0.13143,vapor
1179.8,12.75,23.738,0.042127,3831.5,4368.6,7.5238,1.9919,2.5213,819.03,1.4294,4.51E-05,0.13185,vapor
1182.6,12.75,23.675,0.042238,3837.3,4375.8,7.5299,1.9935,2.5223,820.03,1.4192,4.52E-05,0.13228,vapor
1185.5,12.75,23.613,0.04235,3843.1,4383.1,7.5361,1.9951,2.5234,821.04,1.409,4.53E-05,0.1327,vapor
1188.4,12.75,23.551,0.042461,3849,4390.4,7.5422,1.9968,2.5245,822.04,1.3989,4.54E-05,0.13313,vapor
1191.3,12.75,23.489,0.042572,3854.8,4397.6,7.5483,1.9984,2.5255,823.05,1.389,4.55E-05,0.13355,vapor
1194.1,12.75,23.428,0.042684,3860.7,4404.9,7.5544,2,2.5266,824.04,1.3791,4.56E-05,0.13398,vapor
1197,12.75,23.367,0.042795,3866.5,4412.2,7.5605,2.0016,2.5277,825.04,1.3692,4.57E-05,0.1344,vapor
1199.9,12.75,23.307,0.042906,3872.4,4419.4,7.5665,2.0033,2.5288,826.04,1.3595,4.58E-05,0.13483,vapor
1202.8,12.75,23.246,0.043017,3878.3,4426.7,7.5726,2.0049,2.5299,827.03,1.3499,4.59E-05,0.13526,vapor
1205.7,12.75,23.187,0.043128,3884.1,4434,7.5787,2.0065,2.531,828.02,1.3403,4.60E-05,0.13568,vapor
1208.5,12.75,23.127,0.043239,3890,4441.3,7.5847,2.0081,2.5322,829.01,1.3308,4.61E-05,0.13611,vapor
1211.4,12.75,23.068,0.04335,3895.9,4448.6,7.5907,2.0098,2.5333,830,1.3214,4.62E-05,0.13654,vapor
1214.3,12.75,23.009,0.043461,3901.7,4455.9,7.5967,2.0114,2.5344,830.99,1.3121,4.63E-05,0.13697,vapor
1217.2,12.75,22.95,0.043572,3907.6,4463.2,7.6027,2.013,2.5356,831.97,1.3028,4.64E-05,0.13739,vapor
1220,12.75,22.892,0.043683,3913.5,4470.5,7.6087,2.0147,2.5367,832.96,1.2936,4.65E-05,0.13782,vapor
1222.9,12.75,22.834,0.043794,3919.4,4477.8,7.6147,2.0163,2.5379,833.94,1.2845,4.66E-05,0.13825,vapor
1225.8,12.75,22.777,0.043904,3925.3,4485.1,7.6207,2.0179,2.539,834.92,1.2755,4.67E-05,0.13868,vapor
1228.7,12.75,22.719,0.044015,3931.2,4492.4,7.6266,2.0196,2.5402,835.89,1.2666,4.68E-05,0.13911,vapor
1231.6,12.75,22.663,0.044126,3937.1,4499.7,7.6326,2.0212,2.5414,836.87,1.2577,4.70E-05,0.13953,vapor
1234.4,12.75,22.606,0.044236,3943,4507,7.6385,2.0229,2.5426,837.84,1.2489,4.71E-05,0.13996,vapor
1237.3,12.75,22.55,0.044347,3948.9,4514.3,7.6444,2.0245,2.5437,838.81,1.2402,4.72E-05,0.14039,vapor
1240.2,12.75,22.494,0.044457,3954.8,4521.7,7.6503,2.0261,2.5449,839.78,1.2316,4.73E-05,0.14082,vapor
1243.1,12.75,22.438,0.044568,3960.7,4529,7.6562,2.0278,2.5461,840.75,1.223,4.74E-05,0.14125,vapor
1245.9,12.75,22.382,0.044678,3966.7,4536.3,7.6621,2.0294,2.5473,841.72,1.2145,4.75E-05,0.14168,vapor
1248.8,12.75,22.327,0.044788,3972.6,4543.6,7.668,2.031,2.5485,842.68,1.206,4.76E-05,0.14211,vapor
1251.7,12.75,22.272,0.044899,3978.5,4551,7.6739,2.0327,2.5497,843.65,1.1977,4.77E-05,0.14254,vapor
1254.6,12.75,22.218,0.045009,3984.5,4558.3,7.6797,2.0343,2.551,844.61,1.1894,4.78E-05,0.14297,vapor
1257.5,12.75,22.164,0.045119,3990.4,4565.7,7.6856,2.036,2.5522,845.57,1.1811,4.79E-05,0.1434,vapor
1260.3,12.75,22.11,0.045229,3996.3,4573,7.6914,2.0376,2.5534,846.52,1.173,4.80E-05,0.14383,vapor
1263.2,12.75,22.056,0.045339,4002.3,4580.4,7.6972,2.0392,2.5546,847.48,1.1649,4.81E-05,0.14426,vapor
1266.1,12.75,22.002,0.045449,4008.2,4587.7,7.703,2.0409,2.5558,848.44,1.1568,4.82E-05,0.14469,vapor
1269,12.75,21.949,0.045559,4014.2,4595.1,7.7089,2.0425,2.5571,849.39,1.1489,4.83E-05,0.14512,vapor
1271.8,12.75,21.897,0.045669,4020.2,4602.4,7.7146,2.0441,2.5583,850.34,1.141,4.84E-05,0.14555,vapor
1274.7,12.75,21.844,0.045779,4026.1,4609.8,7.7204,2.0458,2.5596,851.29,1.1331,4.85E-05,0.14598,vapor
1277.6,12.75,21.792,0.045889,4032.1,4617.2,7.7262,2.0474,2.5608,852.24,1.1254,4.86E-05,0.14641,vapor
1280.5,12.75,21.74,0.045999,4038.1,4624.5,7.732,2.049,2.5621,853.19,1.1176,4.87E-05,0.14685,vapor
